Frame,Width,Height,adm2,motion2,ms_ssim,psnr,ssim,vif_scale0,vif_scale1,vif_scale2,vif_scale3,vmaf,
0,1920,1080,1.0000,0.0000,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,97.4274,
1,1920,1080,1.0000,33.0470,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
2,1920,1080,1.0000,33.0470,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
3,1920,1080,1.0000,29.8043,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
4,1920,1080,1.0000,22.6598,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
5,1920,1080,1.0000,18.9130,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
6,1920,1080,1.0000,10.7798,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
7,1920,1080,1.0000,10.7765,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
8,1920,1080,1.0000,10.7765,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
9,1920,1080,1.0000,10.4395,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
10,1920,1080,1.0000,10.1043,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
11,1920,1080,1.0000,10.1043,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
12,1920,1080,1.0000,10.2104,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
13,1920,1080,1.0000,9.9767,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
14,1920,1080,1.0000,9.9767,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
15,1920,1080,1.0000,10.2055,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
16,1920,1080,1.0000,10.2055,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
17,1920,1080,1.0000,10.3298,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
18,1920,1080,1.0000,10.3785,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
19,1920,1080,1.0000,10.5713,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
20,1920,1080,1.0000,10.6539,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
21,1920,1080,1.0000,10.9062,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
22,1920,1080,1.0000,11.1973,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
23,1920,1080,1.0000,11.2437,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
24,1920,1080,1.0000,11.5134,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
25,1920,1080,1.0000,11.6009,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
26,1920,1080,1.0000,11.6009,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
27,1920,1080,1.0000,11.6975,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
28,1920,1080,1.0000,11.4347,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
29,1920,1080,1.0000,11.3695,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
30,1920,1080,1.0000,11.1623,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
31,1920,1080,1.0000,10.5812,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
32,1920,1080,1.0000,10.0802,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
33,1920,1080,1.0000,9.1585,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
34,1920,1080,1.0000,9.0913,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
35,1920,1080,1.0000,8.3970,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
36,1920,1080,1.0000,8.1939,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
37,1920,1080,1.0000,7.6997,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
38,1920,1080,1.0000,6.7193,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
39,1920,1080,1.0000,6.0563,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
40,1920,1080,1.0000,4.5323,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
41,1920,1080,1.0000,4.3546,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
42,1920,1080,1.0000,4.3546,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
43,1920,1080,1.0000,4.7321,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
44,1920,1080,1.0000,5.6023,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
45,1920,1080,1.0000,6.8621,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
46,1920,1080,1.0000,7.4619,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
47,1920,1080,1.0000,8.1398,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
48,1920,1080,1.0000,9.1624,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
49,1920,1080,1.0000,9.1624,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
50,1920,1080,1.0000,10.2292,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
51,1920,1080,1.0000,10.9304,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
52,1920,1080,1.0000,11.2343,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
53,1920,1080,1.0000,11.6204,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
54,1920,1080,1.0000,11.6204,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
55,1920,1080,1.0000,11.7035,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
56,1920,1080,1.0000,11.5750,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
57,1920,1080,1.0000,11.5750,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
58,1920,1080,1.0000,11.6077,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
59,1920,1080,1.0000,11.6077,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
60,1920,1080,1.0000,11.7031,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
61,1920,1080,1.0000,11.7245,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
62,1920,1080,1.0000,11.7245,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
63,1920,1080,1.0000,11.7909,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
64,1920,1080,1.0000,11.8982,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
65,1920,1080,1.0000,11.8982,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
66,1920,1080,1.0000,11.8759,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
67,1920,1080,1.0000,11.8759,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
68,1920,1080,1.0000,11.7799,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
69,1920,1080,1.0000,11.7181,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
70,1920,1080,1.0000,11.1803,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
71,1920,1080,1.0000,11.1803,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
72,1920,1080,1.0000,11.3474,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
73,1920,1080,1.0000,10.9611,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
74,1920,1080,1.0000,10.9553,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
75,1920,1080,1.0000,10.6451,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
76,1920,1080,1.0000,10.5870,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
77,1920,1080,1.0000,10.2382,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
78,1920,1080,1.0000,10.2382,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
79,1920,1080,1.0000,10.4095,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
80,1920,1080,1.0000,10.4090,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
81,1920,1080,1.0000,10.4090,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
82,1920,1080,1.0000,10.4394,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
83,1920,1080,1.0000,10.7072,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
84,1920,1080,1.0000,10.7072,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
85,1920,1080,1.0000,10.7594,1.0000,72.0000,1.0000,1.0000,1.0000,1.0000,1.0000,100.0000,
