Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,ms_ssim,vmaf,
0,72.000000,0.000000,0.000000,1.000000,1.000001,1.000008,1.000000,1.000000,1.000000,1.000000,0.999995,0.999995,0.999995,1.000000,97.427728,
1,72.000000,33.047016,34.877453,1.000000,1.000001,1.000007,1.000000,1.000000,1.000000,0.999999,0.999995,0.999995,0.999995,1.000000,100.000000,
2,72.000000,33.047016,33.047016,1.000000,1.000002,1.000008,1.000000,1.000000,1.000000,0.999999,0.999994,0.999993,0.999994,1.000000,100.000000,
3,72.000000,29.804338,37.477116,1.000000,1.000002,1.000008,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
4,72.000000,22.659840,29.804338,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999994,1.000000,100.000000,
5,72.000000,18.912962,22.659840,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999995,0.999993,0.999993,1.000000,100.000000,
6,72.000000,10.779831,18.912962,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999994,0.999992,0.999993,1.000000,100.000000,
7,72.000000,10.776494,10.779831,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999994,0.999992,0.999993,1.000000,100.000000,
8,72.000000,10.776494,10.776494,1.000000,1.000002,1.000009,1.000000,1.000001,1.000000,1.000000,0.999994,0.999992,0.999993,1.000000,100.000000,
9,72.000000,10.439534,10.874661,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999994,0.999992,0.999993,1.000000,100.000000,
10,72.000000,10.104280,10.439534,1.000000,1.000002,1.000009,1.000000,1.000001,1.000000,1.000000,0.999994,0.999992,0.999993,1.000000,100.000000,
11,72.000000,10.104280,10.104280,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999994,0.999992,0.999993,1.000000,100.000000,
12,72.000000,10.210420,10.210420,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999994,0.999992,0.999993,1.000000,100.000000,
13,72.000000,9.976679,10.405832,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999994,0.999992,0.999993,1.000000,100.000000,
14,72.000000,9.976679,9.976679,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999994,0.999992,0.999993,1.000000,100.000000,
15,72.000000,10.205492,10.298942,1.000000,1.000002,1.000009,1.000000,1.000001,1.000000,1.000000,0.999994,0.999992,0.999993,1.000000,100.000000,
16,72.000000,10.205492,10.205492,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999994,0.999992,0.999993,1.000000,100.000000,
17,72.000000,10.329796,10.329796,1.000000,1.000002,1.000009,1.000000,1.000000,1.000000,1.000000,0.999994,0.999993,0.999993,1.000000,100.000000,
18,72.000000,10.378467,10.378467,1.000000,1.000002,1.000009,1.000000,1.000001,1.000000,1.000000,0.999994,0.999993,0.999993,1.000000,100.000000,
